dl_throughput_mbps,latency_ms,bler_pct,rsrp_dbm,handover_success_rate,slice_utilisation_pct
149.8919057887506,9.815141809932136,0.8192423656895023,-66.70155272954975,98.25545306398303,37.799944950612996
166.2071580261275,9.545721283479587,1.4362483845375398,-65.23274706348839,98.49631656096598,31.87173222894159
155.71562489839891,8.449161559820642,1.5437069325391826,-65.47567149068533,98.18216821704317,36.94786990445945
190.1537458074121,8.433639656285884,1.1154748898928384,-64.70738929975535,98.3680264670063,33.31083916833466
184.1515898897767,8.843792648448183,1.190282125030304,-66.23064448807938,98.34595183421338,42.16796235629461
179.62968843126185,8.78808929584812,1.5561961741776695,-64.789648422224,98.28411498226467,34.511781607195175
168.03673074783705,8.924453146841287,1.4229845651146182,-65.01860096590785,98.42970265107705,34.15224092389482
177.23564658919597,7.931481805730627,1.2021838915088678,-65.83132955607287,98.1177605074039,37.015608030627504
200.66524970854937,9.627177772802792,0.8253985174299768,-65.64032108307241,98.30070629509682,31.90735168721618
192.33440609407037,8.949516464104711,1.2209712967520776,-64.58700123947382,98.17304475250366,38.435343047054964
130.72423261414536,8.913643722347778,1.1766652736073162,-64.45286256987058,98.24874105727632,29.945508963532443
185.78862010058427,9.399675969378698,1.1261710892531072,-65.73874639010985,98.16318508864504,34.357433086892485
168.04242056961732,8.578888580777155,1.2696294123147993,-64.70975192024918,98.46199872331047,31.439382938048784
159.4127530224161,7.699064675978463,0.9028868198162658,-66.65675408800554,98.05704695921442,34.58367287451573
153.94489153112656,10.118360232563813,1.2279162182583871,-64.67725698568383,98.03688764564023,34.58520738400315
146.4063871198553,9.556293881604493,0.8216048712677513,-64.8823046067843,98.31110227773937,33.61321466485554
131.04748808744284,8.389006795241583,1.2707892315585112,-65.23190470164431,98.60956595164029,34.14702015833878
144.3868753245982,9.078849809931828,1.5896704804214021,-64.47612228771428,98.33716795738852,35.10708838963397
159.05711254099216,8.831877419387734,1.3312002837149388,-66.96375036650515,98.28044847053187,35.71479227896014
134.5074636360907,9.155155561000996,1.4612041931358224,-63.31727818724423,98.84743546104234,31.55336363344413
